Time,Type,Entry,Exit,PnL,Result
2022-10-10 17:37:00,BUY,1675.29,1672.58,-1138.9539673121938,SL
2022-10-10 17:38:00,BUY,1672.09,1671.253955,-1127.564427639072,SL
2022-10-10 17:46:00,BUY,1670.95,1669.7,-1116.2887833626812,SL
2022-10-10 17:47:00,BUY,1669.46,1668.6252700000002,-1105.1258955290543,SL
2022-10-10 17:50:00,BUY,1668.88,1668.04,-1094.0746365737637,SL
2022-10-10 17:52:00,BUY,1667.9,1667.0660500000001,-1083.133890208026,SL
2022-10-10 17:55:00,BUY,1667.27,1666.436365,-1072.3025513059458,SL
2022-10-10 17:59:00,BUY,1666.23,1667.8962299999998,2123.159051585773,TP
2022-10-10 18:13:00,SELL,1667.72,1668.048474686838,-341.9961945521833,SL
2022-10-10 18:23:00,SELL,1666.5,1668.54,-1079.3911543632223,SL
2022-10-10 18:37:00,SELL,1667.51,1667.8203347044287,-213.95019967981816,SL
2022-10-10 18:50:00,SELL,1666.56,1668.28,-1066.457740822792,SL
2022-10-11 04:55:00,BUY,1668.51,1667.675745,-1055.7931634145639,SL
2022-10-11 05:14:00,SELL,1665.42,1664.1144815465143,404.91806626791123,TSL
2022-10-11 05:15:00,BUY,1662.4,1661.5688000000002,-1049.2844124430974,SL
2022-10-11 05:17:00,BUY,1661.54,1663.2015399999996,2077.5831366373327,TP
2022-10-11 05:43:00,BUY,1663.37,1665.3102662008432,1054.2783657048847,TSL
2022-10-11 11:04:00,SELL,1665.14,1665.8068697031363,-223.7066019712763,SL
2022-10-11 11:40:00,BUY,1668.7,1665.11,-1067.8731173223757,SL
2022-10-11 11:57:00,SELL,1664.96,1666.92,-1057.194386149152,SL
2022-10-11 12:49:00,SELL,1665.18,1663.427907058014,921.4973839479785,TSL
2022-10-11 13:17:00,SELL,1661.98,1662.2562913508323,-132.5994299822713,SL
2022-10-11 14:32:00,SELL,1669.53,1667.8604700000003,2109.022843654635,TP
2022-10-11 15:33:00,BUY,1672.75,1669.98,-1075.6016502638638,SL
2022-10-11 15:38:00,BUY,1670.66,1669.8246700000002,-1064.8456337612251,SL
2022-10-11 16:00:00,SELL,1669.67,1670.0585963035508,-173.583528118813,SL
2022-10-11 16:40:00,SELL,1667.98,1670.31,-1052.4613421424247,SL
2022-10-11 16:59:00,BUY,1671.42,1667.26,-1041.9367287210005,SL
2022-10-11 17:00:00,BUY,1667.02,1666.18649,-1031.5173614337905,SL
2022-10-11 17:03:00,BUY,1665.64,1664.8071800000002,-1021.2021878194527,SL
2022-10-11 17:07:00,BUY,1664.87,1664.037565,-1010.990165941258,SL
2022-10-11 17:13:00,BUY,1663.8,1665.4637999999998,2001.760528563691,TP
2022-10-11 17:59:00,BUY,1666.15,1669.1291782964195,1152.0593848015562,TSL
2022-10-11 18:35:00,BUY,1674.98,1677.6102121703507,694.4960632660138,TSL
2022-10-11 18:36:00,SELL,1679.81,1680.6499049999998,-1039.363424048158,SL
2022-10-11 18:38:00,SELL,1680.76,1679.0792400000003,2057.939579615353,TP
2022-10-11 18:55:00,SELL,1678.47,1678.8961578238038,-189.52271055593368,SL
2022-10-11 19:09:00,BUY,1679.54,1679.633099848715,39.48843119100548,TSL
2022-10-11 19:29:00,BUY,1682.7,1682.0498698982976,-187.7047109546176,SL
2022-10-11 21:51:00,SELL,1674.06,1674.408811251252,-86.47310262629478,SL
2022-10-11 21:54:00,BUY,1673.16,1672.3234200000002,-1045.3070646743718,SL
2022-10-11 22:17:00,SELL,1671.59,1666.2631276656646,1222.2915988608029,TSL
2022-10-11 22:51:00,BUY,1666.06,1666.0874195821912,12.760182842094673,TSL
2022-10-12 07:05:00,SELL,1671.48,1672.2421185932285,-954.9549254428149,SL
2022-10-12 07:50:00,SELL,1670.53,1668.676530940775,1111.711773012895,TSL
2022-10-12 10:23:00,SELL,1669.91,1670.6539865919897,-305.9891630632926,SL
2022-10-12 10:35:00,SELL,1668.99,1669.3927245606085,-169.13011313774933,SL
2022-10-12 11:11:00,BUY,1669.29,1670.3571312647261,420.41786043047216,TSL
2022-10-12 11:23:00,SELL,1669.43,1671.97,-1048.225066162652,SL
2022-10-12 15:24:00,SELL,1669.01,1669.8445049999998,-1037.7428155010255,SL
2022-10-12 15:30:00,SELL,1671.11,1668.73427922616,2921.0923195269834,TSL
2022-10-12 15:42:00,BUY,1666.49,1669.7099999999998,2113.15262108257,TP
2022-10-12 16:07:00,BUY,1669.58,1669.7516917657977,54.42163573706798,TSL
